Table 2.1. Personal Income and Its Disposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1929 to 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published January 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created Jan 30 2025  9:36AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
11,    Nonfarm,A045RC,"8,356","6,975","5,281","3,262","3,044","4,427","5,230","6,446","6,883","6,587","7,097","8,169","10,624","13,653","16,682","17,908","19,000","21,460","20,237","22,575","22,701","24,642","27,291","28,727","29,848","30,506","33,556","35,231","37,235","37,736","40,302","39,939","41,950","44,017","45,388","49,351","51,633","54,915","57,833","62,172","64,172","64,909","70,518","78,071","83,446","88,745","96,239","113,764","128,528","146,052","157,288","159,862","160,652","157,877","180,077","207,309","220,071","233,684","257,574","298,735","308,105","320,997","327,377","365,392","396,618","421,981","459,165","506,449","551,573","611,701","668,309","722,365","798,919","849,828","860,390","910,504","931,226","1,016,569","953,900","920,779","910,531","1,069,807","1,164,406","1,238,943","1,264,206","1,301,478","1,292,263","1,313,189","1,387,629","1,463,200","1,521,991","1,547,675","1,739,720","1,777,630","1,877,726","1,959,579"
12,  Rental income of persons with capital consumption adjustment,A048RC,"6,065","5,371","4,440","3,599","2,858","2,516","2,564","2,684","2,966","3,480","3,716","3,847","4,415","5,454","6,024","6,337","6,578","6,899","6,889","7,484","7,798","8,779","9,720","10,816","12,028","13,061","13,423","13,668","14,054","14,798","15,559","16,463","17,200","18,046","18,728","18,831","19,336","19,910","20,345","20,096","20,348","20,664","21,828","22,719","23,117","23,181","22,292","20,308","15,867","16,545","16,093","18,978","23,780","23,833","24,435","24,652","26,204","18,268","16,594","22,492","21,524","28,168","38,577","60,573","90,079","113,667","124,882","142,528","147,059","165,206","178,497","183,476","202,403","208,448","227,098","242,781","221,105","181,120","186,259","290,275","347,592","433,671","506,541","534,468","578,687","598,502","601,351","618,723","642,028","671,488","688,432","738,112","772,259","870,266","989,079","1,057,261"
13,  Personal income receipts on assets,W210RC,"12,686","11,974","10,564","8,669","7,693","8,331","8,584","10,086","10,412","8,812","9,476","9,767","10,305","10,121","10,529","10,952","11,778","13,549","15,397","16,785","17,927","20,684","21,437","22,557","24,526","26,526","29,301","32,301","35,454","37,245","40,726","44,509","47,311","52,081","56,700","63,138","69,483","74,966","80,966","88,837","100,348","114,928","125,126","136,594","155,388","180,597","200,960","220,015","251,574","285,807","327,138","397,723","483,931","554,883","600,199","676,737","724,311","766,266","776,310","848,040","959,746","1,004,849","1,008,698","995,434","1,001,948","1,043,635","1,128,549","1,188,819","1,266,516","1,352,478","1,336,177","1,455,648","1,461,935","1,402,632","1,435,569","1,498,706","1,636,354","1,899,026","2,105,303","2,151,519","1,838,471","1,747,679","1,906,485","2,103,551","1,983,244","2,177,401","2,344,590","2,415,419","2,610,966","2,789,376","2,950,022","2,912,422","3,180,726","3,474,032","3,822,888","3,948,364"
14,    Personal interest income,A064RC,"6,885","6,506","6,498","6,125","5,655","5,764","5,740","5,563","5,752","5,647","5,710","5,751","5,874","5,867","6,083","6,335","7,178","7,975","9,076","9,749","10,689","11,846","12,867","13,997","15,640","17,244","18,823","21,021","23,712","25,679","28,156","31,143","33,410","37,054","40,464","44,944","49,278","54,296","59,456","65,302","76,109","90,621","100,099","109,758","125,508","147,410","168,038","181,044","206,851","235,079","269,481","333,527","414,198","481,759","518,213","590,927","630,517","663,145","674,343","720,069","802,260","835,131","827,689","806,166","796,828","806,304","869,355","886,403","928,763","994,038","987,717","1,069,278","1,087,525","1,001,156","1,004,371","939,342","1,081,326","1,215,446","1,325,248","1,345,849","1,272,829","1,211,054","1,216,066","1,271,809","1,201,595","1,260,374","1,347,722","1,387,973","1,466,672","1,554,473","1,603,518","1,508,953","1,480,270","1,634,870","1,891,962","1,966,429"
15,    Personal dividend income,B703RC,"5,801","5,468","4,066","2,544","2,038","2,567","2,844","4,523","4,660","3,165","3,766","4,016","4,431","4,254","4,446","4,617","4,600","5,574","6,321","7,036","7,238","8,838","8,570","8,560","8,886","9,282","10,478","11,280","11,742","11,566","12,570","13,366","13,901","15,027","16,236","18,194","20,205","20,670","21,510","23,535","24,239","24,307","25,027","26,836","29,880","33,187","32,922","38,971","44,723","50,728","57,657","64,196","69,733","73,124","81,986","85,810","93,794","103,121","101,967","127,971","157,486","169,718","181,009","189,268","205,120","237,331","259,194","302,416","337,753","358,440","348,461","386,370","374,410","401,476","431,198","559,365","555,028","683,580","780,055","805,670","565,642","536,625","690,419","831,742","781,648","917,027","996,868","1,027,446","1,144,294","1,234,903","1,346,503","1,403,470","1,700,456","1,839,162","1,930,926","1,981,935"
16,  Personal current transfer receipts,A577RC,"1,189","1,221","2,348","1,745","1,691","1,752","1,976","3,081","1,975","2,399","2,518","2,681","2,656","2,664","2,489","3,107","5,642","10,548","10,820","10,252","11,212","13,972","11,411","11,882","12,516","14,314","15,684","16,827","19,527","23,466","24,239","25,740","29,450","30,392","32,209","33,504","36,178","39,617","48,014","56,094","62,304","74,663","88,108","97,920","112,568","133,294","169,978","184,337","194,572","209,890","235,559","280,128","318,984","355,465","384,295","400,636","425,372","451,555","468,141","497,460","544,241","596,867","668,143","748,037","792,989","828,963","883,455","929,203","954,864","983,911","1,026,175","1,087,311","1,192,597","1,285,216","1,347,256","1,421,242","1,516,743","1,613,843","1,728,094","1,955,114","2,146,744","2,325,153","2,358,685","2,363,017","2,424,348","2,541,550","2,685,407","2,777,022","2,855,685","2,976,276","3,147,101","4,228,832","4,653,739","4,139,175","4,268,030","4,542,478"
17,    Government social benefits to persons,A063RC,791,869,"1,921","1,274","1,274","1,347","1,584","2,687","1,600","2,142","2,237","2,394","2,306","2,322","2,102","2,674","5,142","10,120","10,428","9,881","10,857","13,417","10,538","10,994","11,674","13,747","14,754","15,592","18,132","22,226","22,917","24,428","28,089","28,843","30,341","31,317","33,913","37,504","45,752","53,306","58,973","71,737","85,412","94,808","108,628","128,556","163,134","177,643","189,482","203,427","227,334","271,498","307,809","343,079","370,499","380,909","403,112","428,607","447,913","476,864","521,070","574,674","650,507","731,750","778,935","815,708","864,727","906,325","935,418","957,915","992,202","1,044,876","1,145,830","1,251,022","1,320,994","1,404,471","1,490,917","1,593,029","1,697,335","1,919,349","2,107,728","2,281,411","2,310,139","2,322,586","2,385,910","2,498,625","2,635,146","2,717,282","2,807,432","2,925,973","3,090,760","4,181,099","4,561,016","4,013,760","4,146,460","4,409,494"
18,      Social security\2\,W823RC,.....,.....,.....,.....,.....,.....,.....,.....,1,10,14,35,88,130,165,209,273,378,463,554,665,952,"1,872","2,176","2,980","3,632","4,914","5,652","7,316","8,478","10,175","11,130","12,614","14,298","15,245","16,018","18,067","19,786","21,122","24,598","26,382","31,380","36,617","40,948","50,665","57,607","65,895","74,501","83,239","91,380","102,581","118,586","138,644","153,708","164,426","173,027","183,275","193,631","200,995","213,916","227,380","244,135","264,204","281,776","297,935","312,161","327,675","342,005","356,592","369,182","379,864","401,393","425,084","446,909","463,531","485,512","512,728","544,096","575,653","605,542","664,470","690,174","713,261","762,139","799,044","834,640","871,793","896,472","926,072","972,412","1,030,743","1,077,928","1,114,600","1,211,504","1,356,973","1,446,962"
19,      Medicare\3\,W824RC,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,"1,008","4,699","5,890","6,695","7,254","8,049","8,836","10,244","12,726","15,633","18,795","22,101","25,543","29,936","36,201","43,499","50,927","57,797","64,748","69,720","75,269","81,585","86,289","98,175","107,638","117,487","132,596","146,785","164,423","181,220","194,868","206,917","205,558","208,736","219,117","242,580","259,736","276,708","304,359","332,127","399,107","428,201","461,613","492,951","513,390","535,609","554,746","572,843","600,007","634,939","662,108","691,829","733,569","790,499","820,365","878,902","935,017","1,009,527","1,081,264"
20,      Medicaid,W729RC,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,"1,881","2,720","3,997","4,551","5,455","6,744","8,211","9,611","11,176","13,863","15,457","16,737","18,619","21,067","23,855","27,746","30,159","33,871","36,572","39,673","43,645","47,836","53,027","60,838","73,144","96,911","116,248","130,104","139,429","149,570","158,188","163,124","170,195","184,555","199,493","227,259","250,009","264,526","289,812","304,414","299,100","324,189","338,333","369,610","396,868","406,022","417,539","439,983","490,872","535,913","562,783","573,731","589,766","614,035","657,605","736,520","814,387","878,146","929,878"
